ID,Salary
3000,206992.75
3001,411294.06
3002,212192.45
3003,277516.88
3004,268488.47
3005,395318.7
3006,353908.56
3007,330181.44
3008,195801.33
3009,363855.94
3010,274263.6
3011,262369.62
3012,343704.78
3013,315733.5
3014,207314.72
3015,280901.47
3016,418982.1
3017,321067.3
3018,238625.22
3019,293130.12
3020,209424.7
3021,250759.22
3022,393816.84
3023,277564.88
3024,315910.38
3025,228256.27
3026,255009.31
3027,179528.42
3028,251906.25
3029,308849.28
3030,215173.06
3031,445741.78
3032,290467.34
3033,287281.7
3034,255000.72
3035,193437.69
3036,220848.28
3037,265298
3038,190950.7
3039,290439.5
3040,144026.77
3041,223542.92
3042,190185.31
3043,260654.06
3044,307076.6
3045,246007.25
3046,307054.44
3047,747096.2
3048,250411.02
3049,367102.75
3050,266555.47
3051,198538.25
3052,183632.02
3053,366799.9
3054,279232.38
3055,374696.75
3056,245465.22
3057,217346.72
3058,273273.16
3059,310722.03
3060,318840.9
3061,198443.36
3062,350031.6
3063,190264.62
3064,217628.72
3065,287654.28
3066,246224.16
3067,236002.44
3068,283603.3
3069,242797.23
3070,327921.66
3071,292986.84
3072,221220.22
3073,201364.75
3074,266948.22
3075,255084.27
3076,281055.78
3077,417077.47
3078,339878.97
3079,219438.64
3080,142536.06
3081,524364.5
3082,544302.44
3083,172676.12
3084,317795.2
3085,206136.44
3086,387868
3087,452333.44
3088,236246.4
3089,293496.5
3090,250236.39
3091,195497.23
3092,439171.38
3093,396180.56
3094,339673.84
3095,232719.9
3096,151366.34
3097,382969.12
3098,340640.22
3099,216360.95
3100,227163.2
3101,376829.94
3102,262358.5
3103,219391.73
3104,208670.12
3105,217227.17
3106,304551.84
3107,222869.7
3108,217902.2
3109,212116.06
3110,485092.62
3111,325849.22
3112,373316.16
3113,129106.96
3114,453755.9
3115,325485.28
3116,193113.1
3117,340891
3118,289695.03
3119,237326.78
3120,329710.8
3121,253522.34
3122,224269.7
3123,537263.3
3124,267915.56
3125,211760.78
3126,300790.22
3127,181821.44
3128,176588
3129,198981.56
3130,272516.4
3131,321341.94
3132,164474.5
3133,277998.5
3134,246577.6
3135,286263.94
3136,737571.75
3137,119290.45
3138,292824.28
3139,433310.22
3140,416748.94
3141,331053.94
3142,243187.16
3143,295207.22
3144,228509.58
3145,254272.9
3146,368640.5
3147,177898.58
3148,263163.16
3149,435893.47
3150,294811.3
3151,165888.98
3152,135960.66
3153,240761.05
3154,145552.48
3155,302653.44
3156,187172.1
3157,276122.38
3158,296943.22
3159,297444.97
3160,262227.1
3161,245345.06
3162,301832.03
3163,211666.94
3164,391846.28
3165,340685.44
3166,239237.03
3167,270673.22
3168,280877.75
3169,268904.9
3170,271698.97
3171,313803.2
3172,180054.27
3173,238696.17
3174,261078.12
3175,347870.34
3176,277927.78
3177,331186.44
3178,288761.47
3179,333405.03
3180,344095.47
3181,370095.7
3182,320022.03
3183,280229.44
3184,259705.83
3185,248840.95
3186,147609.98
3187,232856.97
3188,171299.62
3189,270362.34
3190,177129.66
3191,291991.78
3192,272324.97
3193,788637.7
3194,172478.7
3195,233571.44
3196,452370.47
3197,213420.4
3198,328286.9
3199,343064.4
3200,503533.78
3201,256829.6
3202,301098.84
3203,230571.14
3204,193733.23
3205,209155.03
3206,281288.38
3207,277053.16
3208,243825.33
3209,333051.47
3210,196605.88
3211,304043.16
3212,248946.62
3213,254720.34
3214,341208.12
3215,383970.88
3216,352103.72
3217,189074.67
3218,313972.66
3219,224279
3220,371673.88
3221,314144.3
3222,285566.56
3223,286877.22
3224,235279.16
3225,291401.22
3226,215933.6
3227,632410.1
3228,185592.45
3229,255167.19
3230,292831.7
3231,222045.66
3232,287785.16
3233,308234.7
3234,282385.47
3235,194736.39
3236,231838.9
3237,246343.95
3238,311607
3239,327398.78
3240,277600.72
3241,189161.94
3242,466406.84
3243,321288.97
3244,220486.16
3245,259992.5
3246,247085.44
3247,229132.05
3248,267280.3
3249,255368.12
3250,281258.72
3251,311537.62
3252,215729.83
3253,259962.53
3254,267692.97
3255,325754.9
3256,233492.53
3257,198621.78
3258,172042.94
3259,326669.2
3260,239190.2
3261,415510.75
3262,225141.33
3263,302364.12
3264,344878.38
3265,294469.6
3266,263688.84
3267,278386.75
3268,229253.1
3269,255127.86
3270,321993.47
3271,279547.8
3272,304221.44
3273,400963.6
3274,274235.22
3275,244279.94
3276,204831.34
3277,250220.58
3278,198666.14
3279,241842.2
3280,190630.6
3281,427241.6
3282,202703.95
3283,362911.7
3284,261096.88
3285,253243.25
3286,208547.25
3287,179529.48
3288,205722.38
3289,279128.88
3290,303850.4
3291,329465.22
3292,416479.34
3293,239926.4
3294,180431.22
3295,306485.97
3296,230764.1
3297,205157.67
3298,338788.44
3299,215350.47
3300,321461.88
3301,221962.75
3302,221107.84
3303,261150.97
3304,444338.16
3305,439977.88
3306,770206.94
3307,265261.8
3308,238821.55
3309,348149.3
3310,215106.31
3311,272308.9
3312,264276.1
3313,263697.3
3314,180940.5
3315,277548.4
3316,234726.48
3317,293815.16
3318,222642.62
3319,227756.62
3320,175027.6
3321,224626.78
3322,356994.6
3323,278583.84
3324,226023.6
3325,233529.16
3326,202576.97
3327,241889.89
3328,320442.4
3329,304482.44
3330,179306.84
3331,265288.6
3332,448827.97
3333,482040.72
3334,277899.28
3335,283045.3
3336,248716.98
3337,276792.75
3338,291735.28
3339,208045.95
3340,233187.22
3341,380638.97
3342,309094.62
3343,194710.05
3344,503071.38
3345,167022.61
3346,345097.03
3347,249924.95
3348,235314.4
3349,230222.02
3350,823314.06
3351,241938.06
3352,229924.14
3353,324712.44
3354,298268.5
3355,180783.34
3356,182874.6
3357,274277.84
3358,315424.56
3359,317533.28
3360,400378.62
3361,324112.38
3362,367503.8
3363,401169.47
3364,185851.89
3365,454217.34
3366,320856.6
3367,434156.6
3368,192890.72
3369,250626.47
3370,210508.36
3371,196932.6
3372,252737.4
3373,298829.38
3374,181616.98
3375,313803.1
3376,229776.5
3377,238116.3
3378,245784.75
3379,523694.84
3380,215001.03
3381,299621.84
3382,248304.83
3383,183504.25
3384,295892.53
3385,248321.34
3386,232798.55
3387,194594.12
3388,503430.9
3389,305214.94
3390,232293.58
3391,278399.16
3392,213252.97
3393,247921.62
3394,261089.22
3395,219069.23
3396,308763.94
3397,304529.66
3398,245349.67
3399,535316.94
3400,365265
3401,344373.28
3402,291348.94
3403,241787.66
3404,424473.78
3405,181560.4
3406,216949.25
3407,370606.6
3408,220579.81
3409,273804.47
3410,255904.58
3411,486219.16
3412,276737.47
3413,354783.9
3414,336413.53
3415,262337.28
3416,329785.34
3417,230555.73
3418,190290.88
3419,294511.72
3420,328954.2
3421,310216.53
3422,328503.94
3423,301341.4
3424,569926.25
3425,207323.25
3426,219713.47
3427,183125.64
3428,258192.11
3429,251932.11
3430,330153.47
3431,302303.53
3432,223963.05
3433,214807.62
3434,306393.7
3435,230236.34
3436,345315.9
3437,257577.44
3438,284531.38
3439,277034.5
3440,291057.12
3441,398895.47
3442,185469.94
3443,199590
3444,317802.03
3445,232884.72
3446,538696.25
3447,254347.31
3448,361911.97
3449,269884.6
3450,261417.05
3451,302027.4
3452,267017.34
3453,232157.16
3454,159336.33
3455,297105.34
3456,304791.47
3457,173264.47
3458,197585.61
3459,182686.17
3460,512409.03
3461,191672.89
3462,252254.28
3463,310131.88
3464,198470.02
3465,192597.97
3466,236763.78
3467,202136.9
3468,277052
3469,329928.7
3470,153296.06
3471,243962.36
3472,272800.94
3473,211866.97
3474,169686.33
3475,269393.75
3476,240297.1
3477,277383.25
3478,242118.62
3479,322144.25
3480,173427.62
3481,197292.77
3482,217392.94
3483,230600.56
3484,231093.22
3485,174289.12
3486,457522.88
3487,287718.97
3488,306473.06
3489,279985.6
3490,471945.84
3491,223015.94
3492,147498.72
3493,306127.47
3494,182283.23
3495,409707.78
3496,316107.78
3497,178451.3
3498,314104.88
3499,304340.53
3500,257176.8
3501,213910.62
3502,283207.94
3503,302068.94
3504,353433.12
3505,341483.78
3506,268887.8
3507,384207.34
3508,370893.47
3509,201615.2
3510,272508.66
3511,300110.78
3512,333744.97
3513,203901.53
3514,302065.9
3515,273656.28
3516,298201.53
3517,417535.7
3518,280321.53
3519,279558.56
3520,362559.78
3521,348261.7
3522,237877.03
3523,412116.25
3524,343715.12
3525,159162.55
3526,226437.64
3527,418788.56
3528,396302.72
3529,292352.2
3530,344432.72
3531,180943
3532,372285.4
3533,410815.16
3534,267182.4
3535,256912.33
3536,282799.1
3537,353968.1
3538,248845.12
3539,446580
3540,386736.94
3541,256961.14
3542,320608.66
3543,227770.8
3544,546187.1
3545,656584.56
3546,319675.2
3547,226033.06
3548,353060.03
3549,249349.58
3550,363038.16
3551,309322.72
3552,310636.7
3553,338391.8
3554,320400.6
3555,254028.62
3556,240075.81
3557,525166.2
3558,241505.27
3559,170951.17
3560,408104.28
3561,227453.5
3562,214934.9
3563,208723.1
3564,252741.31
3565,176941.16
3566,233037.38
3567,298553.7
3568,310549.1
